date,study_hours,sleep_hours,break_minutes,focus_score,productivity_score,study_7day_avg,sleep_7day_avg,productivity_7day_avg,sleep_deficit,burnout_risk_score
2025-01-01,4.07,6.97,72.0,9.4,6.01,,,,0,0.0
2025-01-02,3.96,4.66,60.0,7.55,4.89,,,,1,0.4
2025-01-03,7.81,4.61,37.0,8.68,7.02,,,,1,0.7
2025-01-04,3.06,8.67,63.0,5.92,5.32,,,,0,0.0
2025-01-05,1.65,4.72,76.0,6.16,3.47,,,,1,0.4
2025-01-06,7.22,4.08,104.0,5.12,5.86,,,,1,0.7
2025-01-07,6.34,4.85,91.0,7.56,6.14,4.872857142857143,5.508571428571429,5.53,1,0.4
2025-01-08,5.23,5.01,31.0,8.18,5.75,5.038571428571428,5.228571428571429,5.492857142857143,1,0.4
2025-01-09,3.24,7.12,48.0,6.62,5.08,4.935714285714285,5.58,5.5200000000000005,0,0.0
2025-01-10,3.86,4.3,118.0,8.62,4.94,4.371428571428572,5.535714285714286,5.222857142857143,1,0.4
2025-01-11,3.71,6.3,69.0,8.98,5.54,4.464285714285714,5.197142857142857,5.2542857142857144,0,0.0
2025-01-12,3.83,8.88,87.0,7.88,6.16,4.775714285714286,5.791428571428571,5.63857142857143,0,0.0
2025-01-13,5.88,5.68,86.0,8.35,6.31,4.5842857142857145,6.0200000000000005,5.702857142857142,1,0.4
2025-01-14,6.75,6.45,102.0,9.75,7.26,4.642857142857143,6.248571428571429,5.862857142857144,0,0.0
2025-01-15,4.52,5.23,43.0,6.54,5.14,4.541428571428571,6.28,5.775714285714286,1,0.4
2025-01-16,4.6,4.76,52.0,8.96,5.52,4.735714285714286,5.942857142857143,5.838571428571428,1,0.4
2025-01-17,2.94,5.22,84.0,7.69,4.57,4.604285714285714,6.074285714285715,5.785714285714286,1,0.4
2025-01-18,3.83,5.64,25.0,9.8,5.57,4.621428571428572,5.9799999999999995,5.79,1,0.7
2025-01-19,7.01,5.54,93.0,9.34,7.04,5.075714285714286,5.502857142857144,5.9157142857142855,1,0.7
2025-01-20,4.96,7.11,63.0,5.63,5.74,4.944285714285714,5.707142857142857,5.8342857142857145,0,0.0
2025-01-21,4.8,5.89,33.0,8.59,5.88,4.6657142857142855,5.627142857142857,5.637142857142856,1,0.4
2025-01-22,2.23,8.46,44.0,7.59,5.17,4.338571428571428,6.088571428571429,5.6414285714285715,0,0.0
2025-01-23,1.83,6.93,59.0,6.29,4.25,3.9428571428571426,6.398571428571429,5.46,0,0.0
2025-01-24,6.48,7.24,43.0,6.08,6.63,4.448571428571428,6.687142857142858,5.7542857142857144,0,0.0
2025-01-25,1.46,4.19,83.0,7.32,3.45,4.11,6.4799999999999995,5.451428571428571,1,0.4
2025-01-26,5.39,8.37,84.0,7.04,6.61,3.8785714285714286,6.884285714285714,5.390000000000001,0,0.0
2025-01-27,5.17,4.32,40.0,7.24,5.33,3.9085714285714284,6.485714285714286,5.331428571428572,1,0.4
2025-01-28,7.09,8.64,28.0,5.69,7.28,4.235714285714286,6.878571428571428,5.531428571428571,0,0.6
2025-01-29,3.86,7.05,110.0,5.99,5.24,4.468571428571429,6.677142857142856,5.541428571428571,0,0.0
2025-01-30,3.28,7.75,117.0,8.25,5.62,4.675714285714285,6.794285714285714,5.737142857142857,0,0.0
2025-01-31,7.22,7.69,116.0,8.28,7.57,4.781428571428571,6.8585714285714285,5.871428571428572,0,0.3
2025-02-01,2.46,7.44,116.0,9.75,5.41,4.924285714285714,7.322857142857143,6.151428571428572,0,0.0
2025-02-02,6.49,5.42,48.0,7.38,6.35,5.081428571428572,6.901428571428572,6.114285714285714,1,0.4
2025-02-03,7.62,6.19,107.0,7.82,7.23,5.431428571428571,7.168571428571428,6.385714285714286,0,0.3
2025-02-04,7.11,6.98,94.0,5.3,6.71,5.434285714285714,6.9314285714285715,6.304285714285714,0,0.3
2025-02-05,6.83,8.38,99.0,7.64,7.46,5.8585714285714285,7.121428571428573,6.621428571428572,0,0.0
2025-02-06,1.41,7.68,110.0,6.28,4.27,5.591428571428572,7.111428571428571,6.428571428571429,0,0.0
2025-02-07,2.6,4.36,72.0,5.73,3.75,4.9314285714285715,6.635714285714286,5.882857142857143,1,0.4
2025-02-08,6.07,8.04,92.0,6.02,6.65,5.4471428571428575,6.721428571428571,6.0600000000000005,0,0.0
2025-02-09,6.45,7.52,98.0,9.63,7.41,5.441428571428572,7.021428571428571,6.211428571428572,0,0.0
2025-02-10,6.85,8.15,71.0,5.22,6.91,5.331428571428572,7.301428571428572,6.1657142857142855,0,0.0
2025-02-11,4.57,7.98,30.0,9.89,6.66,4.968571428571429,7.444285714285714,6.158571428571428,0,0.0
2025-02-12,5.83,7.95,91.0,8.38,6.98,4.825714285714286,7.382857142857143,6.089999999999999,0,0.0
2025-02-13,5.73,4.02,87.0,5.89,5.25,5.442857142857143,6.86,6.2299999999999995,1,0.4
2025-02-14,3.39,4.69,46.0,9.92,5.09,5.555714285714286,6.907142857142857,6.421428571428572,1,0.4
2025-02-15,4.14,7.74,75.0,7.59,5.91,5.28,6.864285714285715,6.315714285714285,0,0.0
2025-02-16,5.83,7.92,29.0,7.71,6.83,5.191428571428571,6.921428571428572,6.232857142857143,0,0.3
2025-02-17,6.91,5.23,32.0,8.6,6.74,5.2,6.5042857142857144,6.208571428571427,1,0.4
2025-02-18,3.28,6.66,48.0,6.83,5.0,5.015714285714286,6.315714285714286,5.971428571428571,0,0.0
2025-02-19,7.53,6.65,55.0,5.05,6.77,5.258571428571429,6.130000000000001,5.941428571428571,0,0.3
2025-02-20,6.95,8.13,84.0,7.38,7.39,5.432857142857143,6.717142857142858,6.247142857142857,0,0.0
2025-02-21,1.29,6.24,67.0,6.68,3.85,5.132857142857143,6.9385714285714295,6.07,0,0.0
2025-02-22,3.73,4.92,29.0,8.9,5.12,5.074285714285715,6.535714285714286,5.957142857142856,1,0.7
2025-02-23,2.36,5.98,85.0,6.82,4.34,4.578571428571429,6.258571428571429,5.6014285714285705,1,0.4
2025-02-24,5.87,8.62,102.0,6.96,6.91,4.43,6.742857142857143,5.625714285714286,0,0.0
2025-02-25,3.54,4.73,31.0,7.94,4.78,4.467142857142858,6.467142857142856,5.594285714285713,1,0.4
2025-02-26,3.79,7.51,84.0,6.96,5.54,3.932857142857143,6.590000000000001,5.418571428571428,0,0.0
2025-02-27,5.34,4.9,82.0,8.61,5.86,3.7028571428571433,6.128571428571428,5.2,1,0.4
2025-02-28,3.38,7.65,103.0,6.83,5.35,4.001428571428572,6.329999999999999,5.414285714285714,0,0.0
2025-03-01,1.03,6.73,92.0,5.32,3.6,3.615714285714286,6.588571428571429,5.1971428571428575,0,0.0
2025-03-02,6.37,7.78,27.0,7.77,7.07,4.188571428571429,6.845714285714286,5.587142857142858,0,0.3
2025-03-03,5.3,7.61,98.0,6.69,6.27,4.107142857142857,6.701428571428572,5.4957142857142856,0,0.0
2025-03-04,6.48,6.74,119.0,9.12,7.09,4.527142857142858,6.988571428571428,5.825714285714286,0,0.0
2025-03-05,7.92,8.79,103.0,9.32,8.46,5.117142857142857,7.171428571428572,6.242857142857143,0,0.3
2025-03-06,7.57,5.78,35.0,6.95,6.91,5.435714285714285,7.297142857142857,6.392857142857143,1,0.7
2025-03-07,6.66,4.03,36.0,7.06,5.95,5.904285714285715,6.78,6.478571428571429,1,0.4
2025-03-08,5.76,6.8,114.0,7.79,6.48,6.58,6.79,6.89,0,0.0
2025-03-09,2.27,7.24,104.0,5.56,4.42,5.994285714285715,6.712857142857142,6.511428571428572,0,0.0
2025-03-10,2.78,6.27,61.0,9.77,5.22,5.634285714285714,6.521428571428571,6.361428571428571,0,0.0
2025-03-11,7.54,4.67,70.0,5.45,6.26,5.785714285714286,6.225714285714285,6.242857142857143,1,0.7
2025-03-12,3.61,4.88,70.0,6.46,4.56,5.170000000000001,5.667142857142857,5.685714285714285,1,0.4
2025-03-13,6.49,7.36,100.0,5.67,6.59,5.015714285714286,5.892857142857143,5.640000000000001,0,0.0
2025-03-14,3.84,6.76,71.0,6.76,5.3,4.612857142857143,6.282857142857144,5.547142857142857,0,0.0
2025-03-15,3.65,4.77,108.0,8.02,4.86,4.311428571428571,5.992857142857142,5.315714285714286,1,0.4
2025-03-16,7.89,7.71,86.0,8.41,7.94,5.114285714285714,6.0600000000000005,5.818571428571429,0,0.3
2025-03-17,3.74,4.19,50.0,6.33,4.39,5.251428571428571,5.7628571428571425,5.7,1,0.4
2025-03-18,4.32,6.82,97.0,9.13,6.03,4.791428571428571,6.069999999999999,5.667142857142857,0,0.0
2025-03-19,6.91,7.88,48.0,6.58,7.13,5.262857142857143,6.498571428571429,6.034285714285715,0,0.0
2025-03-20,4.89,4.44,31.0,7.71,5.32,5.034285714285715,6.081428571428572,5.852857142857142,1,0.4
2025-03-21,1.12,6.24,27.0,7.01,3.83,4.645714285714285,6.007142857142857,5.642857142857143,0,0.3
2025-03-22,2.24,4.25,70.0,9.66,4.33,4.444285714285714,5.932857142857143,5.567142857142857,1,0.4
2025-03-23,1.08,8.91,54.0,9.88,5.19,3.4714285714285715,6.104285714285715,5.174285714285714,0,0.0
2025-03-24,1.07,8.17,62.0,6.53,4.29,3.0900000000000003,6.672857142857143,5.159999999999999,0,0.0
2025-03-25,5.48,5.52,73.0,7.73,5.94,3.2557142857142862,6.4871428571428575,5.147142857142858,1,0.4
2025-03-26,5.02,7.79,99.0,9.42,6.73,2.9857142857142853,6.474285714285714,5.090000000000001,0,0.0
2025-03-27,1.23,7.2,54.0,9.78,4.73,2.4628571428571426,6.868571428571428,5.005714285714285,0,0.0
2025-03-28,1.82,4.12,51.0,9.56,4.06,2.5628571428571427,6.565714285714286,5.038571428571429,1,0.4
2025-03-29,4.77,5.62,61.0,9.86,6.04,2.924285714285714,6.761428571428572,5.282857142857144,1,0.4
2025-03-30,5.13,4.11,27.0,8.63,5.52,3.502857142857143,6.075714285714286,5.33,1,0.7
2025-03-31,2.09,8.97,112.0,8.62,5.46,3.6485714285714286,6.1899999999999995,5.497142857142857,0,0.0
2025-04-01,6.72,8.66,52.0,8.31,7.62,3.825714285714285,6.638571428571429,5.737142857142857,0,0.0
2025-04-02,2.55,4.54,50.0,6.28,3.89,3.472857142857142,6.174285714285714,5.331428571428572,1,0.4
2025-04-03,6.34,8.04,66.0,5.05,6.59,4.202857142857143,6.294285714285714,5.597142857142857,0,0.0
2025-04-04,5.25,5.41,84.0,5.65,5.38,4.692857142857143,6.478571428571428,5.785714285714286,1,0.4
2025-04-05,6.68,5.66,98.0,5.6,6.16,4.965714285714285,6.484285714285714,5.8028571428571425,1,0.4
2025-04-06,5.06,6.54,53.0,6.45,5.78,4.9557142857142855,6.831428571428572,5.840000000000001,0,0.0
2025-04-07,3.13,5.54,120.0,6.5,4.53,5.104285714285715,6.341428571428571,5.707142857142857,1,0.4
2025-04-08,5.83,4.26,104.0,9.91,6.17,4.977142857142857,5.712857142857142,5.5,1,0.4
2025-04-09,2.78,4.54,97.0,9.52,4.66,5.01,5.7128571428571435,5.61,1,0.4
2025-04-10,1.28,5.03,94.0,6.31,3.41,4.2871428571428565,5.282857142857144,5.155714285714285,1,0.4
2025-04-11,6.98,6.87,55.0,8.14,7.18,4.534285714285714,5.491428571428571,5.412857142857143,0,0.0
2025-04-12,2.53,6.31,69.0,6.15,4.39,3.9414285714285713,5.5842857142857145,5.159999999999999,0,0.0
2025-04-13,7.09,6.02,47.0,8.23,7.0,4.231428571428571,5.509999999999999,5.334285714285714,0,0.3
