date,study_hours,sleep_hours,break_minutes,focus_score,productivity_score
2025-01-01,4.07,6.97,72.0,9.4,6.01
2025-01-02,3.96,4.66,60.0,7.55,4.89
2025-01-03,7.81,4.61,37.0,8.68,7.02
2025-01-04,3.06,8.67,63.0,5.92,5.32
2025-01-05,1.65,4.72,76.0,6.16,3.47
2025-01-06,7.22,4.08,104.0,5.12,5.86
2025-01-07,6.34,4.85,91.0,7.56,6.14
2025-01-08,5.23,5.01,31.0,8.18,5.75
2025-01-09,3.24,7.12,48.0,6.62,5.08
2025-01-10,3.86,4.3,118.0,8.62,4.94
2025-01-11,3.71,6.3,69.0,8.98,5.54
2025-01-12,3.83,8.88,87.0,7.88,6.16
2025-01-13,5.88,5.68,86.0,8.35,6.31
2025-01-14,6.75,6.45,102.0,9.75,7.26
2025-01-15,4.52,5.23,43.0,6.54,5.14
2025-01-16,4.6,4.76,52.0,8.96,5.52
2025-01-17,2.94,5.22,84.0,7.69,4.57
2025-01-18,3.83,5.64,25.0,9.8,5.57
2025-01-19,7.01,5.54,93.0,9.34,7.04
2025-01-20,4.96,7.11,63.0,5.63,5.74
2025-01-21,4.8,5.89,33.0,8.59,5.88
2025-01-22,2.23,8.46,44.0,7.59,5.17
2025-01-23,1.83,6.93,59.0,6.29,4.25
2025-01-24,6.48,7.24,43.0,6.08,6.63
2025-01-25,1.46,4.19,83.0,7.32,3.45
2025-01-26,5.39,8.37,84.0,7.04,6.61
2025-01-27,5.17,4.32,40.0,7.24,5.33
2025-01-28,7.09,8.64,28.0,5.69,7.28
2025-01-29,3.86,7.05,110.0,5.99,5.24
2025-01-30,3.28,7.75,117.0,8.25,5.62
2025-01-31,7.22,7.69,116.0,8.28,7.57
2025-02-01,2.46,7.44,116.0,9.75,5.41
2025-02-02,6.49,5.42,48.0,7.38,6.35
2025-02-03,7.62,6.19,107.0,7.82,7.23
2025-02-04,7.11,6.98,94.0,5.3,6.71
2025-02-05,6.83,8.38,99.0,7.64,7.46
2025-02-06,1.41,7.68,110.0,6.28,4.27
2025-02-07,2.6,4.36,72.0,5.73,3.75
2025-02-08,6.07,8.04,92.0,6.02,6.65
2025-02-09,6.45,7.52,98.0,9.63,7.41
2025-02-10,6.85,8.15,71.0,5.22,6.91
2025-02-11,4.57,7.98,30.0,9.89,6.66
2025-02-12,5.83,7.95,91.0,8.38,6.98
2025-02-13,5.73,4.02,87.0,5.89,5.25
2025-02-14,3.39,4.69,46.0,9.92,5.09
2025-02-15,4.14,7.74,75.0,7.59,5.91
2025-02-16,5.83,7.92,29.0,7.71,6.83
2025-02-17,6.91,5.23,32.0,8.6,6.74
2025-02-18,3.28,6.66,48.0,6.83,5.0
2025-02-19,7.53,6.65,55.0,5.05,6.77
2025-02-20,6.95,8.13,84.0,7.38,7.39
2025-02-21,1.29,6.24,67.0,6.68,3.85
2025-02-22,3.73,4.92,29.0,8.9,5.12
